Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41.0,233,1054,1102.0,1,2,608,1.0,2.0,94.0,3.0,2.0,326,4,457,5993.0,19479.0,8.0,413,11,3,1,80,0,8.0,0,1,6.0,4,0,5
49.0,1237,269,279.0,8,1,608,2.0,3.0,61.0,2.0,2.0,292,2,692,5130.0,24907.0,1.0,1057,23,4,4,80,1,10.0,3,3,10.0,7,1,7
37.0,233,1054,1373.0,2,2,82,4.0,4.0,92.0,2.0,1.0,259,3,457,2090.0,2396.0,6.0,413,15,3,2,80,0,7.0,3,3,0.0,0,0,0
33.0,1237,269,1392.0,3,4,608,5.0,4.0,56.0,3.0,1.0,292,3,692,2909.0,23159.0,1.0,413,11,3,3,80,0,8.0,3,3,8.0,7,3,0
37.0,1237,1054,591.0,2,1,462,7.0,1.0,40.0,3.0,1.0,259,2,692,3468.0,16632.0,9.0,1057,12,3,4,80,1,6.0,3,3,2.0,2,2,2
37.0,1237,269,1005.0,2,2,608,8.0,4.0,79.0,3.0,1.0,259,4,457,3068.0,11864.0,0.0,1057,13,3,3,80,0,8.0,2,2,7.0,7,3,6
37.0,1237,1054,1324.0,3,3,462,10.0,3.0,81.0,4.0,1.0,259,1,692,2670.0,9964.0,4.0,413,20,4,1,80,3,12.0,3,2,1.0,0,0,0
37.0,1237,1054,1358.0,24,1,608,11.0,4.0,67.0,3.0,1.0,259,3,321,2693.0,13335.0,1.0,1057,22,4,2,80,1,1.0,2,3,1.0,0,0,0
37.0,1237,269,216.0,23,3,608,12.0,4.0,44.0,2.0,3.0,145,3,457,9526.0,8787.0,0.0,1057,21,4,2,80,0,10.0,2,3,9.0,7,1,8
37.0,1237,1054,1299.0,27,3,462,13.0,3.0,94.0,3.0,2.0,131,3,692,5237.0,16577.0,6.0,1057,13,3,2,80,2,17.0,3,2,7.0,7,7,7
37.0,1237,1054,809.0,16,3,462,14.0,1.0,84.0,4.0,1.0,259,2,692,2426.0,16479.0,0.0,1057,13,3,3,80,1,6.0,5,3,5.0,4,0,3
29.0,1237,1054,153.0,15,2,608,15.0,4.0,49.0,2.0,2.0,259,3,457,4193.0,12682.0,0.0,413,12,3,4,80,0,10.0,3,3,9.0,5,0,8
31.0,1237,1054,670.0,26,1,608,16.0,1.0,31.0,3.0,1.0,292,3,321,2911.0,15170.0,1.0,1057,17,3,4,80,1,5.0,1,2,5.0,2,4,3
34.0,1237,1054,1346.0,19,2,462,18.0,2.0,93.0,3.0,1.0,259,4,321,2661.0,8758.0,0.0,1057,11,3,3,80,1,3.0,2,3,2.0,2,1,2
28.0,1237,1054,103.0,24,3,608,19.0,3.0,50.0,2.0,1.0,259,3,457,2028.0,12947.0,5.0,413,14,3,2,80,0,6.0,4,3,4.0,2,0,3
29.0,1237,1054,805.0,21,4,608,20.0,2.0,51.0,4.0,3.0,145,1,321,9980.0,10195.0,1.0,1057,11,3,3,80,1,10.0,1,3,10.0,9,8,8
32.0,1237,1054,805.0,5,2,608,21.0,1.0,80.0,4.0,1.0,292,2,321,3298.0,15053.0,0.0,413,12,3,4,80,2,7.0,5,2,6.0,2,0,5
22.0,1237,147,805.0,16,2,462,22.0,4.0,96.0,4.0,1.0,259,4,321,2935.0,7324.0,1.0,413,13,3,2,80,2,1.0,2,2,1.0,0,0,0
53.0,1237,1054,805.0,2,4,608,23.0,1.0,78.0,2.0,4.0,102,4,692,15427.0,22021.0,2.0,1057,16,3,3,80,0,30.75,3,3,19.5,8,3,7
38.0,1237,1054,805.0,2,3,608,24.0,4.0,45.0,3.0,1.0,292,4,457,3944.0,4306.0,5.0,413,11,3,3,80,0,6.0,3,3,3.0,2,1,2
